Item,Qty,Need to buy,Total Price £,URL,TOTAL (£),TOTAL ($),Note: Only need to buy PCB as I have all other parts so total needed will be around $7
600mm Aluminium extrusion,1,N,7,Al extrusion 600mm,52.67,71.84,
Belt Pulley,1,N,4.99,Belt Pulley,,,
Belt idler,1,N,3.85,Idler Pully,,,
V Wheels,4,N,2.44,V Wheels ,,,
Flexible plastic tube,1,N,1.47,PVC tube,,,
DC motor,1,N,2.12,DC pump 12v 60rpm,,,
DC water Pump,1,N,2.48,DC water pump,,,
Limit Switches,2,N,1.23,Limit switches,,,
Moisture sensor,1,N,2.59,Soil moisture sensor,,,
Wire,1m,N,0.8,Wire,,,
470uf and 0.1uf Capacitor,3,N,3.99,Capacitors,,,
LCD Display,1,N,2.21,LCD,,,
12V 3A power supply,1,N,4.06,Power supply 12V 3A,,,
L293D,1,N,1.36,l293d,,,
Arduino uno,1,N,3.22,arduino uno r3,,,
LDR,1,N,0.84,LDR,,,
"10K, 220 Resistor ",2,N,1.75,Resistors,,,
250K Potentiometer,1,N,1.27,Potentiometer,,,
PCB,1,Y,5,N/A,,,
